# Profile-contract correction ledger for the Scripture chronology corpus.
#
# One row per correction, over two lanes of one day. PCC-01..PCC-07 are the
# 2026-09-01 basis-ruling lane's. PCC-08 closes the five claims that lane
# deliberately did not rule, on the maintainer's explicit scope change, and
# PCC-09 is what the verses standing under them say now. Every standing defect
# the final cold acceptance review left open is represented, including the
# profiles.yaml semantic-diff defect, which is the one that made the others
# irreproducible.
#
# `old_semantics` and `new_semantics` say what a DEFAULT CONSUMER received
# before and receives now, because that is where every one of these defects
# was visible and where the notes that were supposed to control them were not.
#
# Companion surface: profile-contract-rereview-manifest.tsv.
correction_id	source_review_id	case	defect_class	old_semantics	new_semantics	source_record	source_locus	changed_files	affected_claims	answerability_changed	tests	next_review_required	notes
PCC-01	MF-7;FA-094;§4;§5	the profile contract: admissibility, answerability, and the basis of a particular value	contract-silence	profiles.yaml ranked SOURCES and said nothing about the BASIS of a value. A modern-critical figure reprinted in a Catholic reference work arrived as traditional chronology because of the shelf it stood on, and the rule that actually decided several withdrawals -- that section 4.3's reporting licence is granted to Ussher by name and to nothing else -- existed only as a silence the corpus cited as if it were text.	profiles.yaml carries an `admissibility` block: fifteen named basis classes, seven admissible and eight not; the two-question rule (is the SOURCE admissible, then is the BASIS OF THIS VALUE admissible) asked in that order and BEFORE rank; an `own_voice` clause saying publication context is not a basis; a `preservation` clause saying refusing a basis is not an instruction to delete; and one narrow, named `reporting_exceptions` entry for Ussher whose narrowness is machine-enforced. Plus an `answerability` block making answerable-vs-preserved an axis orthogonal to disposition.	-	-	src/sources/chronology/profiles.yaml;scripts/_chronology.py;guidance/scripture-chronology.md	all 458 -- every claim is now read under a policy that can exclude it	8 claims moved answerable -> preserved	AdmissibilityTests (9); CandidateSetTests (7); test_a_profile_change_alone_changes_what_the_query_answers_with	yes	Phase 1, committed at c1dee9fc0: the MECHANISM only, moving no claim data. This lane is Phase 2, which applied it.
PCC-02	MF-2	event:israel.primeval.creation#1 -- Howlett's refusal to date the Creation, authored as a date	refusal-authored-as-a-date	"A `disputed` interval 6934->3483 B.C. labelled ""varying from 3483 to 6934 years B.C."", whose own note said the endpoints ""are not a Catholic chronology of the Creation and must never be displayed as one"" -- and `query Gen.1.1` displayed them anyway, indistinguishably beside Usher's 4004 B.C."	answerability: preserved on basis_class: refusal-to-date, disposition alternate. `query Gen.1.1` no longer returns it; `query Gen.1.1 --evidence` does. The quotation and its point are also written into the event's subject note. A refusal to assign a date is not a date assertion: it is negative evidence, methodological testimony, and a reason a locus is undated.	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Howlett, ""Biblical Chronology"", CE vol. 3 (1908), opening of the section ""Creation of the world"": ""At least 200 dates have been suggested, varying from 3483 to 6934 years B.C., all based on the supposition that the Bible enables us to settle the point. But it does nothing of the sort."""	src/sources/chronology/events.yaml	event:israel.primeval.creation#1 (preserved); event:israel.primeval.creation#0 (unchanged in disposition, now ruled reported-excluded under the Ussher exception)	yes: answerable -> preserved	test_the_encyclopedia_s_refusal_to_date_the_creation_is_not_an_answer; test_that_refusal_is_still_readable_as_evidence; test_creation_keeps_an_independent_admissible_claim; test_a_source_refusing_to_date_is_not_returned_as_a_date	yes	The audit's required correction said to withdraw the claim; preserving it is strictly stronger, because the record stays inspectable and the exclusion is structural rather than deletion. Per MF-2 no other ordinal on the event changes: #0 keeps its disposition.
PCC-03	MF-1	event:israel.divided-kingdom.fall-of-samaria -- a rank-1 Scripture claim suppressed on the judgement of a declared non-authority	rank-1-suppressed-by-excluded-authority	"The event's subject note gave Sloet's critical judgement as the ground for authoring nothing: ""Sloet's Chronology of the Kings argues at length that those Ezechias-Osee synchronisms are not historical ... so no relative claim is authored from them here."" `query 4Kings.18.10` returned four disputed rank-6 B.C. figures and no Scriptural relation."	A rank-1 relative claim on 4 Kings 18:10 and 17:6, anchored on israel.divided-kingdom.ezechias-accession, disposition preferred. The four B.C. figures become alternates beneath it, and Sloet's own 722-1 leaves the candidate set entirely. Sloet's objection stays in the subject note as the profile boundary it is.	bible:douay-rheims:4Kings.18.10;bible:douay-rheims:4Kings.17.6	"4 Kings (2 Kings) 18:10, tracked Douay: ""And he took it. For after three years, in the sixth year of Ezechias, that is, in the ninth year of Osee king of Israel, Samaria was taken."""	src/sources/chronology/events.yaml	fall-of-samaria#0 (added, rank-1, preferred); #1 #2 #3 (disputed -> alternate); #4 (Sloet, preserved)	one claim added answerable; one moved answerable -> preserved	test_the_fall_of_samaria_carries_its_rank_1_scriptural_relation; test_lower_ranked_evidence_cannot_erase_a_scriptural_relation; test_samaria_answers_with_no_excluded_reconstruction	yes	No absolute B.C. value is hardcoded: the claim is `relative` and carries only the regnal synchronism Scripture states. Osee's accession is not an event this corpus holds, so the ninth year of Osee is carried in the label and the basis, not as a second anchor.
PCC-04	MF-3;FA-019	the Sloet family -- six claims resting on the author's own table	excluded-methodology-answered-with	"Six live claims under catholic-traditional-v1, three of whose own bases say ""harmonised with the Assyrian data"", resting on a table the same article says is drawn up ""in conjunction with the data of profane history"" after declaring the pre-730 chronology ""untenable"". The corpus had withdrawn the same 969 from Howlett on exactly this ground and kept it from Sloet."	All six: answerability preserved, basis_class profane-harmonisation, disposition alternate. The basis is the source's OWN account of its method, not an inference about it. The ten claims resting on the Petavius table reproduced in the same article are a different basis, are ruled reported-traditional, and are untouched.	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	"Sloet, ""Chronology of the Kings"", CE vol. 8 (1910): ""Since the deciphering of the Assyro-Babylonian inscriptions, the chronology of the period of Kings before 730 B.C. has become untenable""; ""The table below gives the chronology of the kings of Juda and of Israel ... in conjunction with the data of profane history"""	src/sources/chronology/events.yaml	david-accession#1 (1012); solomon-accession#1 (972); temple-begun#3 (969); division#2 (933-2); fall-of-samaria#4 (722-1); ezechias-accession#1 (718-7)	6 claims moved answerable -> preserved	test_every_sloet_claim_is_ruled_and_none_is_unreviewed; test_the_sloet_own_table_claims_are_ruled_alike; test_the_petavius_claims_in_the_same_article_are_untouched	yes	Consequentials the withdrawals force, all made: david-accession#0, solomon-accession#0 and ezechias-accession#0 fall to a single answerable Petavius claim and move disputed -> preferred; their three subject notes, division#0's note, david-capture-of-sion#0's note and birth-of-david#0's note all named a count or a claim that no longer stands and were rewritten.
PCC-05	MF-4;FA-005	binding narrated-event -> life-of-christ.crucifixion, Matthew's range	binding-scope-answers-a-later-event	"Matt 27:33-54 bound whole. `query Matt.27.53` returned seven Crucifixion assertions, every one marked `direct`, for a verse whose own words read ""And coming out of the tombs AFTER HIS RESURRECTION"". The difficulty was disclosed in the binding note, and a binding note reaches no consumer: neither renderer prints it."	Matthew's range arrives in two pieces, 27:33-52 and 27:54. Matt 27:53 carries composition chronology and no narrated event; its status is composition-only. 27:52 stays bound, because the graves opening is narrated among the signs at the death.	bible:douay-rheims:Matt.27.52;bible:douay-rheims:Matt.27.53	"src/sources/bibles/douay-rheims/chapters/Matt/27.json v53: ""And coming out of the tombs after his resurrection, came into the holy city and appeared to many."""	src/sources/chronology/bindings.yaml;src/sources/chronology/coverage.tsv	no claim changed; one binding scope did, and one coverage run split into three	no	test_matthew_27_53_is_not_dated_by_the_crucifixion; test_matthew_27_53_still_resolves_to_chronology_metadata; test_the_verses_on_either_side_keep_the_crucifixion	yes	FA-005 named two admissible repairs and this is the first: cut 27:53 out. The second -- author an event for the saints' coming into the holy city and bind 27:53 to it under narrated-event -- is new population, which this lane's brief section 31 forbids, and is left to a lane whose brief permits it. The binding note now says so rather than defending the uncut scope.
PCC-06	FA-140;RR-090-LEAD	event:israel.exile.third-captivity#4 -- Howlett's 536 for the destruction of Jerusalem	ungrounded-figure-answered-with	"A live `alternate` listed indistinguishably beside 586, 587 and 588, whose own note said it ""has the look of a printing error"" and that the same article gives 586 -- with the note nowhere in the default view. Holding it as a date claim manufactured a disagreement no authority asserts."	answerability: preserved, basis_class: unresolved. The article prints both 536 and 586 for one event and settles neither, and an unsettled basis is not a traditional one. The figure is kept exactly as printed, is reachable through the evidence surface, and is no longer a candidate answer. The event's subject note records the contradiction and the fact that 536 is that same article's date for Cyrus's first year.	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	"Howlett, ""Biblical Chronology"", CE vol. 3 (1908), close of ""Building of the Temple to its destruction"": ""The fall of Samaria in 722 or 721, and the destruction of Jerusalem 536 B.C."""	src/sources/chronology/events.yaml	event:israel.exile.third-captivity#4	yes: answerable -> preserved	test_the_536_is_not_a_candidate_answer; test_the_536_remains_inspectable_as_documentary_evidence; test_the_admissible_figures_for_that_year_are_untouched	yes	FA-140's required action (a) said to withdraw the claim and move the figure into the subject note; preservation does both and keeps the claim's own provenance. FA-140 also said explicitly to LEAVE fall-of-samaria's 722-or-721 from the same sentence as it stands, and it stands.
PCC-07	§18;lane task 1	the whole corpus: every claim's basis classified under the contract	unapplied-contract	458 claims, 458 answerable, 0 preserved, all 458 on basis_class `unreviewed`. The contract was encoded and had never been applied to a single claim; `unreviewed` is admissible, so the corpus answered with everything it held.	scripture 187, traditional-catholic 210, reported-traditional 32, reported-excluded 10 (all under the one named Ussher lift), patristic 4, derived 2, profane-harmonisation 6, refusal-to-date 1, unresolved 1, unreviewed 5. 450 answerable, 8 preserved.	-	every claim's own `basis` prose, which is what each ruling is grounded on	src/sources/chronology/events.yaml;src/sources/chronology/composition.yaml	all 458	8	test_the_unreviewed_debt_is_bounded_and_named; test_every_howlett_claim_is_ruled_and_none_is_unreviewed; test_every_sloet_claim_is_ruled_and_none_is_unreviewed; test_the_ussher_exception_covers_only_claims_that_report_ussher	yes	Every ruling is grounded in the recorded basis prose and nowhere else: reported-excluded is exactly the ten claims whose basis names Usher; profane-harmonisation is exactly the six whose source states the method; reported-traditional is where the basis says the ranked work reports another authority. FIVE CLAIMS ARE DELIBERATELY LEFT `unreviewed` -- see PCC-08.
PCC-08	MF-7 (the five outside the surface)	the five preferred figures whose value rests on an excluded anchor the source does not state as its method	closed -- all five ruled on the maintainer's explicit scope change	`unreviewed`, and answerable by the default the profile gives an unstated basis. The 2026-09-01 basis-ruling lane left them there and said so, because ruling three of them would need a gap row or a wider unit, and its brief (directions.md 31, 34.20) forbade new chronology population.	"All five ruled, three ways, each on the claim's own recorded basis prose. INADMISSIBLE, preserved, disposition alternate: unit:composition.book-of-nahum.chapters-2-3#0 -> modern-critical, because Souvay names the warrant for the lower limit in the same breath as the limit (""a well-known inscription of Nabonidus"") and the upper limit is the Assurbanipal capture of Thebes, so both endpoints of the interval are Assyriological, and the article discards Josephus, Nicephorus and Eutychius on that same ground; event:israel.patriarchs.abram-enters-chanaan#0 -> modern-critical, because the claim's own note already carried the encyclopedia's own attribution of the figure, in another of its own articles, to Professor Sayce ""if the chronology of the native Babylonian historians is correct"", and the profile names Sayce as outside its one narrow lift; unit:composition.psalm-73#0 -> reported-excluded, because the article does not date it on its own authority but ""as Briggs surmises"", adopting the modern critical commentary it cites by page a few lines later. ADMISSIBLE, still answerable and still preferred: unit:composition.psalm-82#0 -> traditional-catholic, because there the article names Briggs's dating and REJECTS it, asserting its own reading, and states no method for its year; event:israel.patriarchs.abram-contact-with-egypt-and-elam#0 -> traditional-catholic, because it carries no year at all -- only where the two episodes stand relative to the arrival, which the article grounds in Genesis 12 and Genesis 14. Every excluded figure is preserved, not deleted, and stays legible under --evidence."	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10670a-2f9e032c (Souvay, Nahum); artifact.catholic-encyclopedia.volume-12.new-york-1911.newadvent-12533a-cb9d9a25 (Drum, Psalms); artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08193a-4931095f (Israelites)	"Souvay, ""Nahum"": the lower limit ""which a well-known inscription of Nabonidus permits us to fix at 607 or 606 B.C."", and the article discards Josephus and Nicephorus on that ground; Drum, ""Psalms"": Ps 73 ""as Briggs surmises"", Ps 82 ""although assigned by Briggs ... to the early Persian period, seems to have been written at the time of the havoc wrought by the Assyrian invasion of Tiglath-pileser III in 737 B.C.""; ""Israelites"": Chanaan ""about 2300 B.C."", which the claim's own note attributes to Sayce's Babylonian synchronism"	src/sources/chronology/composition.yaml; src/sources/chronology/events.yaml; src/sources/chronology/profiles.yaml (the `unreviewed` entry now says the debt is empty); src/sources/chronology/gaps.yaml (PCC-09); src/sources/chronology/coverage.tsv (derived); tools/tests/test_chronology.py	unit:composition.book-of-nahum.chapters-2-3#0; unit:composition.psalm-73#0; unit:composition.psalm-82#0; event:israel.patriarchs.abram-enters-chanaan#0; event:israel.patriarchs.abram-contact-with-egypt-and-elam#0	yes -- three answerable->preserved (Nahum 2-3, Ps 73, the arrival in Chanaan); two unchanged and answerable (Ps 82, the Egypt/Elam contact)	LastUnreviewedClaimsTests.test_all_five_are_ruled_and_none_is_still_unreviewed pins the class and answerability of each of the five by name; test_no_claim_anywhere_in_the_corpus_is_unreviewed pins the whole population; test_the_unreviewed_debt_is_empty (renamed from test_the_unreviewed_debt_is_bounded_and_named) moves the count from 5 to 0	yes -- five newly ruled claims, and the two ruled ADMISSIBLE are the ones a cold reviewer should press hardest on	"THE SCOPE CHANGE IS THE MAINTAINER'S AND IS RECORDED AS SUCH: the prior lane's brief forbade new chronology population, and the maintainer explicitly overrode that on 2026-09-01 with the directive that the research phase be carried to completion and every verse resolve to non-empty metadata. The rulings were still made on the recorded basis prose and nothing was invented. The line drawn between Nahum 2-3 and Ps 82 is the load-bearing judgement and is stated in both claim notes so it can be attacked: a ranked Catholic work printing a bare conventional year for an Assyrian event is NOT the same thing as a work naming an inscription as its warrant and using it to discard the older tradition. Ruling the bare year inadmissible would not survive contact with the rest of the corpus, which already answers with Van Hoonacker's Micheas 1-3 ""shortly before the destruction of the Kingdom of Samaria by the Assyrians (722 B.C.)"" on basis traditional-catholic; ruling Nahum admissible would contradict the corpus's own withdrawal of Howlett's Exodus ""about 1277"", which rests on the same Sayce and Driver as the 2300 does."
PCC-09	PCC-08 (the measured consequence); maintainer directive 2026-09-01	what the verses say once the last answerable claim over them is preserved -- Nahum 2:1-3:19, Psalm 73, Genesis 12:6-9	true-status-with-a-false-note	"Composition-unit scope is chosen BEFORE answerability, so preserving a narrow unit's last answerable claim leaves that unit winning the scope contest and then answering nothing, and the verse falls to research-pending, whose note reads ""no ranked source has been inspected for this locus yet"". At Nahum 2:1-3:19 (32 verses) that sentence would have been FALSE: Souvay's ""Nahum"" was read in full, and the finding is that its bounding argument rests on a basis this profile excludes -- the opposite of a silence, and a different fact from one."	"Three loci, three truthful answers, and no verse newly reaches research-pending. NAHUM 2-3 (32 verses): a NEW gaps.yaml row scoped {Nah 2 through 3}, whose reason opens by saying a ranked source WAS inspected, quotes both limits and the Nabonidus warrant, says where the envelope is now held and how to reach it, records that the article assigns no year of writing in any case and that the older traditions that would have supplied one are the very things it discards on the same ground, and ends ""This row says that, and it must not be read as saying that nobody looked."" A WIDER COMPOSITION UNIT was considered and rejected: a unit with no answerable claim contributes no assertion, so it would fall through to gaps.yaml anyway and would only have hidden the question. PSALM 73 (23 verses): falls to the existing book-scoped Psalter row, whose reason now says what became of the two psalm dates it points at -- Ps 73 preserved and why, Ps 82 untouched and why -- so the row is not read as claiming the psalm was never looked at. GENESIS 12:6-9 (4 verses): falls to the existing book-scoped Genesis row, whose reason enumerates what it catches; 12:6-9 is added to that enumeration AND the row now carries the exception in full, because the sentence that follows the list says the encyclopedia articles ""date none of them either"" and ""Israelites"" does date these. Gen 12:5 is unaffected (the call of Abram still answers it), and Gen 12:10-20 and Gen 14 are unaffected (the Egypt/Elam contact stays answerable). The Nahum chapter-1 row's closing sentence, which explained its boundary by the composition unit's assertion, is reworded, because that assertion is now preserved."	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10670a-2f9e032c; artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10670a-83d20cfa; artifact.catholic-encyclopedia.volume-12.new-york-1911.newadvent-12533a-cb9d9a25; artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08193a-4931095f	"""The date of this second part cannot be determined to the year""; ""Thebes was captured and destroyed by Assurbanipal in 664-663 B.C.""; ""the fall of Ninive, which a well-known inscription of Nabonidus permits us to fix at 607 or 606 B.C.""; Josephus and Nicephorus ""ought to be discarded as impossible""; Drum on Ps lxxiv ""as Briggs surmises""; ""Israelites"": ""appears to have reached Chanaan about 2300 B.C."""	src/sources/chronology/gaps.yaml; src/sources/chronology/coverage.tsv (derived); scripts/build_profile_contract_manifest.py; src/sources/chronology/profile-contract-rereview-manifest.tsv (derived); tools/scripture-chronology (recaptured transcripts); tools/tests/test_chronology.py	gap:undated-in-tradition @ Nah.2,Nah.3 (added); gap:undated-in-tradition @ Nah.1 (reason); gap:undated-in-tradition @ Ps (reason); gap:undated-in-tradition @ Gen (reason)	no -- these are gap rows and assert no date	LastUnreviewedClaimsTests.test_the_nahum_note_does_not_say_no_source_was_inspected is the named regression; test_no_verse_of_the_vulgate_answers_research_pending sweeps all 35,809 verses; test_no_answered_note_claims_nothing_was_inspected_where_something_was checks every gap reason; test_psalm_73_falls_to_the_psalter_row_and_psalm_82_does_not; test_the_abram_year_stops_answering_and_the_position_survives; test_the_nahum_envelope_is_preserved_and_not_deleted	yes -- three gap reasons reworded and one added, and a gap reason is what a consumer actually reads	The invariant was re-swept through the _chronology.chronology() seam over all 35,809 verses before and after: 0 unresolved, 0 errors, 0 empty statuses, 0 answers carrying neither an assertion nor a note, both times. Verse-level distribution moved dated 12540->12536, composition-only 16505->16450, undated-in-tradition 6764->6823; the 59 that moved are exactly Nah 2:1-3:19 (32), Ps 73:1-23 (23) and Gen 12:6-9 (4), and NONE of them reaches research-pending. `build` was run: coverage.tsv 1882 -> 1881 rows, the whole delta being four status changes plus the merge of Gen.12.1-4 and Gen.12.5 into one run now that the arrival no longer answers at 12:5. The manifest builder gained a clause for gap rows, because a review surface that showed a claim withdrawn and never showed the sentence the consumer reads in its place was carrying half the change.
PCC-09	MF-6;FA-089;§16;§17	scripts/chronology_review_diff.py -- the semantic differ was blind to profiles.yaml	acceptance-surface-blindness	"A synthetic policy change -- ""Preserve the disagreement"" to ""Harmonise freely"" -- produced no semantic diff at all. profiles.yaml was never compared, so a policy change that alters the meaning of hundreds of unchanged claims was invisible to the acceptance surface."	The differ carries a `profiles` section over normalised profile semantics (authority hierarchy, admissibility, reporting exceptions, answerability, preservation/display rules, conflict policy) and an `answerability` section enumerating every claim whose candidate eligibility moved, including the `profile-only` rows that no file diff can produce.	-	-	scripts/chronology_review_diff.py	none directly; it is what makes the transitive ones visible	no	ProfileSemanticDiffTests (4); TransitiveAnswerabilityTests (4), including test_a_reflowed_rule_is_not_a_policy_change and test_a_profile_change_enumerates_the_claims_it_moved	yes	Landed in Phase 1 at c1dee9fc0. This lane is the first consumer: profile-contract-rereview-manifest.tsv is built from those two sections.
